yil,cinsiyet,il,n
2014,Erkek,Adana,20436
2014,Erkek,Adiyaman,7016
2014,Erkek,Afyonkarahisar,5750
2014,Erkek,Agri,8534
2014,Erkek,Aksaray,3604
2014,Erkek,Amasya,2062
2014,Erkek,Ankara,39167
2014,Erkek,Antalya,17870
2014,Erkek,Ardahan,842
2014,Erkek,Artvin,1052
2014,Erkek,Aydin,7011
2014,Erkek,Balikesir,6981
2014,Erkek,Bartin,1183
2014,Erkek,Batman,7529
2014,Erkek,Bayburt,644
2014,Erkek,Bilecik,1427
2014,Erkek,Bingol,3028
2014,Erkek,Bitlis,4729
2014,Erkek,Bolu,1844
2014,Erkek,Burdur,1608
2014,Erkek,Bursa,21984
2014,Erkek,Canakkale,2863
2014,Erkek,Cankiri,1201
2014,Erkek,Corum,3696
2014,Erkek,Denizli,7186
2014,Erkek,Diyarbakir,22568
2014,Erkek,Duzce,2654
2014,Erkek,Edirne,2070
2014,Erkek,Elazig,4820
2014,Erkek,Erzincan,1614
2014,Erkek,Erzurum,8188
2014,Erkek,Eskisehir,5117
2014,Erkek,Gaziantep,25219
2014,Erkek,Giresun,2436
2014,Erkek,Gumushane,972
2014,Erkek,Hakkari,3272
2014,Erkek,Hatay,16619
2014,Erkek,Igdir,2440
2014,Erkek,Isparta,2779
2014,Erkek,Istanbul,124262
2014,Erkek,Izmir,28733
2014,Erkek,Kahramanmaras,11802
2014,Erkek,Karabuk,1330
2014,Erkek,Karaman,1945
2014,Erkek,Kars,3358
2014,Erkek,Kastamonu,2000
2014,Erkek,Kayseri,12069
2014,Erkek,Kirikkale,1698
2014,Erkek,Kirklareli,1880
2014,Erkek,Kirsehir,1501
2014,Erkek,Kilis,1579
2014,Erkek,Kocaeli,15437
2014,Erkek,Konya,19098
2014,Erkek,Kutahya,3498
2014,Erkek,Malatya,6307
2014,Erkek,Manisa,10092
2014,Erkek,Mardin,11277
2014,Erkek,Mersin,15071
2014,Erkek,Mugla,5762
2014,Erkek,Mus,6110
2014,Erkek,Nevsehir,2384
2014,Erkek,Nigde,3118
2014,Erkek,Ordu,4811
2014,Erkek,Osmaniye,4958
2014,Erkek,Rize,2184
2014,Erkek,Sakarya,7142
2014,Erkek,Samsun,9034
2014,Erkek,Siirt,4638
2014,Erkek,Sinop,1212
2014,Erkek,Sivas,4703
2014,Erkek,Sanliurfa,32579
2014,Erkek,Sirnak,7784
2014,Erkek,Tekirdag,6810
2014,Erkek,Tokat,4084
2014,Erkek,Trabzon,5345
2014,Erkek,Tunceli,534
2014,Erkek,Usak,2422
2014,Erkek,Van,15686
2014,Erkek,Yalova,1488
2014,Erkek,Yozgat,3306
2014,Erkek,Zonguldak,3575
2014,Kız,Adana,19456
2014,Kız,Adiyaman,6657
2014,Kız,Afyonkarahisar,5587
2014,Kız,Agri,8230
2014,Kız,Aksaray,3410
2014,Kız,Amasya,1847
2014,Kız,Ankara,37378
2014,Kız,Antalya,16858
2014,Kız,Ardahan,791
2014,Kız,Artvin,1017
2014,Kız,Aydin,6594
2014,Kız,Balikesir,6464
2014,Kız,Bartin,1114
2014,Kız,Batman,7359
2014,Kız,Bayburt,627
2014,Kız,Bilecik,1310
2014,Kız,Bingol,2887
2014,Kız,Bitlis,4408
2014,Kız,Bolu,1698
2014,Kız,Burdur,1515
2014,Kız,Bursa,20665
2014,Kız,Canakkale,2616
2014,Kız,Cankiri,1155
2014,Kız,Corum,3565
2014,Kız,Denizli,6759
2014,Kız,Diyarbakir,21637
2014,Kız,Duzce,2561
2014,Kız,Edirne,1990
2014,Kız,Elazig,4461
2014,Kız,Erzincan,1504
2014,Kız,Erzurum,7773
2014,Kız,Eskisehir,4888
2014,Kız,Gaziantep,23981
2014,Kız,Giresun,2269
2014,Kız,Gumushane,967
2014,Kız,Hakkari,3181
2014,Kız,Hatay,15649
2014,Kız,Igdir,2272
2014,Kız,Isparta,2581
2014,Kız,Istanbul,117668
2014,Kız,Izmir,27060
2014,Kız,Kahramanmaras,11051
2014,Kız,Karabuk,1144
2014,Kız,Karaman,1770
2014,Kız,Kars,3082
2014,Kız,Kastamonu,1930
2014,Kız,Kayseri,11395
2014,Kız,Kirikkale,1645
2014,Kız,Kirklareli,1838
2014,Kız,Kirsehir,1492
2014,Kız,Kilis,1480
2014,Kız,Kocaeli,14399
2014,Kız,Konya,17854
2014,Kız,Kutahya,3478
2014,Kız,Malatya,6006
2014,Kız,Manisa,9464
2014,Kız,Mardin,10673
2014,Kız,Mersin,14004
2014,Kız,Mugla,5518
2014,Kız,Mus,5882
2014,Kız,Nevsehir,2077
2014,Kız,Nigde,2913
2014,Kız,Ordu,4560
2014,Kız,Osmaniye,4708
