"cinsiyet","","","yil","il","sayi",""
"Erkek","","","2014","Adana(Aladağ)-1757","177",""
"","","","","Adana(Ceyhan)-1219","1533",""
"","","","","Adana(Çukurova)-2033","2526",""
"","","","","Adana(Feke)-1329","133",""
"","","","","Adana(İmamoğlu)-1806","247",""
"","","","","Adana(Karaisalı)-1437","147",""
"","","","","Adana(Karataş)-1443","198",""
"","","","","Adana(Kozan)-1486","1027",""
"","","","","Adana(Pozantı)-1580","149",""
"","","","","Adana(Saimbeyli)-1588","107",""
"","","","","Adana(Sarıçam)-2032","1480",""
"","","","","Adana(Seyhan)-1104","7586",""
"","","","","Adana(Tufanbeyli)-1687","147",""
"","","","","Adana(Yumurtalık)-1734","139",""
"","","","","Adana(Yüreğir)-1748","4840",""
"","","","","Adıyaman(Besni)-1182","769",""
"","","","","Adıyaman(Çelikhan)-1246","172",""
"","","","","Adıyaman(Gerger)-1347","266",""
"","","","","Adıyaman(Gölbaşı)-1354","458",""
"","","","","Adıyaman(Kahta)-1425","1493",""
"","","","","Adıyaman(Merkez)-1105","3394",""
"","","","","Adıyaman(Samsat)-1592","122",""
"","","","","Adıyaman(Sincik)-1985","232",""
"","","","","Adıyaman(Tut)-1989","110",""
"","","","","Afyonkarahisar(Başmakçı)-1771","63",""
"","","","","Afyonkarahisar(Bayat)-1773","63",""
"","","","","Afyonkarahisar(Bolvadin)-1200","361",""
"","","","","Afyonkarahisar(Çay)-1239","244",""
"","","","","Afyonkarahisar(Çobanlar)-1906","178",""
"","","","","Afyonkarahisar(Dazkırı)-1267","74",""
"","","","","Afyonkarahisar(Dinar)-1281","316",""
"","","","","Afyonkarahisar(Emirdağ)-1306","275",""
"","","","","Afyonkarahisar(Evciler)-1923","56",""
"","","","","Afyonkarahisar(Hocalar)-1944","73",""
"","","","","Afyonkarahisar(İhsaniye)-1404","268",""
"","","","","Afyonkarahisar(İscehisar)-1809","276",""
"","","","","Afyonkarahisar(Kızılören)-1961","11",""
"","","","","Afyonkarahisar(Merkez)-1108","2400",""
"","","","","Afyonkarahisar(Sandıklı)-1594","413",""
"","","","","Afyonkarahisar(Sinanpaşa)-1626","322",""
"","","","","Afyonkarahisar(Şuhut)-1664","276",""
"","","","","Afyonkarahisar(Sultandağı)-1639","81",""
"","","","","Ağrı(Diyadin)-1283","700",""
"","","","","Ağrı(Doğubayazıt)-1287","1797",""
"","","","","Ağrı(Eleşkirt)-1301","530",""
"","","","","Ağrı(Hamur)-1379","362",""
"","","","","Ağrı(Merkez)-1111","2076",""
"","","","","Ağrı(Patnos)-1568","2194",""
"","","","","Ağrı(Taşlıçay)-1667","334",""
"","","","","Ağrı(Tutak)-1691","541",""
"","","","","Aksaray(Ağaçören)-1860","64",""
"","","","","Aksaray(Eskil)-1921","265",""
"","","","","Aksaray(Gülağaç)-1932","209",""
"","","","","Aksaray(Güzelyurt)-1861","89",""
"","","","","Aksaray(Merkez)-1120","2701",""
"","","","","Aksaray(Ortaköy)-1557","249",""
"","","","","Aksaray(Sarıyahşi)-1866","27",""
"","","","","Amasya(Göynücek)-1363","63",""
"","","","","Amasya(Gümüşhacıköy)-1368","101",""
"","","","","Amasya(Hamamözü)-1938","13",""
"","","","","Amasya(Merkez)-1134","913",""
"","","","","Amasya(Merzifon)-1524","476",""
"","","","","Amasya(Suluova)-1641","336",""
"","","","","Amasya(Taşova)-1668","160",""
"","","","","Ankara(Akyurt)-1872","303",""
"","","","","Ankara(Altındağ)-1130","3037",""
"","","","","Ankara(Ayaş)-1157","66",""
"","","","","Ankara(Bala)-1167","159",""
"","","","","Ankara(Beypazarı)-1187","337",""
"","","","","Ankara(Çamlıdere)-1227","25",""
"","","","","Ankara(Çankaya)-1231","4923",""
"","","","","Ankara(Çubuk)-1260","693",""
"","","","","Ankara(Elmadağ)-1302","302",""
"","","","","Ankara(Etimesgut)-1922","4466",""
"","","","","Ankara(Evren)-1924","15",""
"","","","","Ankara(Gölbaşı)-1744","1011",""
"","","","","Ankara(Güdül)-1365","34",""
"","","","","Ankara(Haymana)-1387","291",""
"","","","","Ankara(Kalecik)-1427","79",""
"","","","","Ankara(Kazan)-1815","465",""
"","","","","Ankara(Keçiören)-1745","6582",""
"","","","","Ankara(Kızılcahamam)-1473","122",""
"","","","","Ankara(Mamak)-1746","4776",""
"","","","","Ankara(Nallıhan)-1539","179",""
"","","","","Ankara(Polatlı)-1578","940",""
"","","","","Ankara(Pursaklar)-2034","1291",""
"","","","","Ankara(Şereflikoçhisar)-1658","225",""
"","","","","Ankara(Sincan)-1747","4320",""
"","","","","Ankara(Yenimahalle)-1723","4526",""
"","","","","Antalya(Akseki)-1121","54",""
"","","","","Antalya(Aksu)-2035","562",""
"","","","","Antalya(Alanya)-1126","2411",""
"","","","","Antalya(Demre)-1811","195",""
"","","","","Antalya(Döşemealtı)-2036","440",""
"","","","","Antalya(Elmalı)-1303","219",""
"","","","","Antalya(Finike)-1333","318",""
"","","","","Antalya(Gazipaşa)-1337","301",""
"","","","","Antalya(Gündoğmuş)-1370","43",""
"","","","","Antalya(İbradı)-1946","9",""
"","","","","Antalya(Kaş)-1451","407",""
"","","","","Antalya(Kemer)-1959","360",""
"","","","","Antalya(Kepez)-2037","4328",""
"","","","","Antalya(Konyaaltı)-2038","985",""
"","","","","Antalya(Korkuteli)-1483","383",""
"","","","","Antalya(Kumluca)-1492","485",""
"","","","","Antalya(Manavgat)-1512","1979",""
"","","","","Antalya(Muratpaşa)-2039","3491",""
"","","","","Antalya(Serik)-1616","900",""
"","","","","Ardahan(Çıldır)-1252","85",""
"","","","","Ardahan(Damal)-2008","34",""
"","","","","Ardahan(Göle)-1356","245",""
"","","","","Ardahan(Hanak)-1380","65",""
"","","","","Ardahan(Merkez)-1144","381",""
"","","","","Ardahan(Posof)-1579","32",""
"","","","","Artvin(Ardanuç)-1145","57",""
"","","","","Artvin(Arhavi)-1147","131",""
"","","","","Artvin(Borçka)-1202","170",""
"","","","","Artvin(Hopa)-1395","215",""
"","","","","Artvin(Merkez)-1152","240",""
"","","","","Artvin(Murgul)-1828","55",""
"","","","","Artvin(Şavşat)-1653","55",""
"","","","","Artvin(Yusufeli)-1736","129",""
"","","","","Aydın(Bozdoğan)-1206","223",""
"","","","","Aydın(Buharkent)-1781","84",""
"","","","","Aydın(Çine)-1256","248",""
"","","","","Aydın(Didim)-2000","480",""
"","","","","Aydın(Efeler)-2076","1930",""
"","","","","Aydın(Germencik)-1348","339",""
"","","","","Aydın(İncirliova)-1807","406",""
"","","","","Aydın(Karacasu)-1435","112",""
"","","","","Aydın(Karpuzlu)-1957","70",""
"","","","","Aydın(Koçarlı)-1479","118",""
"","","","","Aydın(Köşk)-1968","178",""
"","","","","Aydın(Kuşadası)-1497","660",""
"","","","","Aydın(Kuyucak)-1498","152",""
"","","","","Aydın(Nazilli)-1542","934",""
"","","","","Aydın(Söke)-1637","885",""
