yil,aldigi_sehir,sehir,sayi
2014,Adana,Adıyaman,752
2014,Adana,Afyonkarahisar,294
2014,Adana,Ağrı,276
2014,Adana,Aksaray,500
2014,Adana,Amasya,120
2014,Adana,Ankara,3656
2014,Adana,Antalya,2941
2014,Adana,Ardahan,87
2014,Adana,Artvin,96
2014,Adana,Aydın,497
2014,Adana,Balıkesir,365
2014,Adana,Bartın,50
2014,Adana,Batman,456
2014,Adana,Bayburt,76
2014,Adana,Bilecik,102
2014,Adana,Bingöl,357
2014,Adana,Bitlis,298
2014,Adana,Bolu,172
2014,Adana,Burdur,145
2014,Adana,Bursa,968
2014,Adana,Çanakkale,279
2014,Adana,Çankırı,109
2014,Adana,Çorum,151
2014,Adana,Denizli,334
2014,Adana,Diyarbakır,1526
2014,Adana,Düzce,89
2014,Adana,Edirne,109
2014,Adana,Elazığ,740
2014,Adana,Erzincan,169
2014,Adana,Erzurum,376
2014,Adana,Eskişehir,402
2014,Adana,Gaziantep,2747
2014,Adana,Giresun,167
2014,Adana,Gümüşhane,189
2014,Adana,Hakkari,145
2014,Adana,Hatay,2737
2014,Adana,Iğdır,57
2014,Adana,Isparta,316
2014,Adana,İstanbul,7717
2014,Adana,İzmir,1924
2014,Adana,Kahramanmaraş,2011
2014,Adana,Karabük,112
2014,Adana,Karaman,246
2014,Adana,Kars,174
2014,Adana,Kastamonu,144
2014,Adana,Kayseri,1994
2014,Adana,Kilis,225
2014,Adana,Kırıkkale,155
2014,Adana,Kırklareli,143
2014,Adana,Kırşehir,214
2014,Adana,Kocaeli,831
2014,Adana,Konya,1571
2014,Adana,Kütahya,190
2014,Adana,Malatya,969
2014,Adana,Manisa,357
2014,Adana,Mardin,966
2014,Adana,Mersin,6499
2014,Adana,Muğla,767
2014,Adana,Muş,271
2014,Adana,Nevşehir,381
2014,Adana,Niğde,2710
2014,Adana,Ordu,148
2014,Adana,Osmaniye,2917
2014,Adana,Rize,121
2014,Adana,Sakarya,320
2014,Adana,Samsun,218
2014,Adana,Şanlıurfa,2214
2014,Adana,Siirt,366
2014,Adana,Sinop,37
2014,Adana,Şırnak,621
2014,Adana,Sivas,534
2014,Adana,Tekirdağ,368
2014,Adana,Tokat,210
2014,Adana,Trabzon,228
2014,Adana,Tunceli,197
2014,Adana,Uşak,111
2014,Adana,Van,619
2014,Adana,Yalova,157
2014,Adana,Yozgat,237
2014,Adana,Zonguldak,137
2014,Adıyaman,Adana,948
2014,Adıyaman,Afyonkarahisar,86
2014,Adıyaman,Ağrı,115
2014,Adıyaman,Aksaray,59
2014,Adıyaman,Amasya,52
2014,Adıyaman,Ankara,969
2014,Adıyaman,Antalya,926
2014,Adıyaman,Ardahan,24
2014,Adıyaman,Artvin,16
2014,Adıyaman,Aydın,175
2014,Adıyaman,Balıkesir,87
2014,Adıyaman,Bartın,32
2014,Adıyaman,Batman,169
2014,Adıyaman,Bayburt,37
2014,Adıyaman,Bilecik,38
2014,Adıyaman,Bingöl,104
2014,Adıyaman,Bitlis,82
2014,Adıyaman,Bolu,47
2014,Adıyaman,Burdur,43
2014,Adıyaman,Bursa,248
2014,Adıyaman,Çanakkale,55
2014,Adıyaman,Çankırı,60
2014,Adıyaman,Çorum,59
2014,Adıyaman,Denizli,63
2014,Adıyaman,Diyarbakır,497
2014,Adıyaman,Düzce,48
2014,Adıyaman,Edirne,34
2014,Adıyaman,Elazığ,341
2014,Adıyaman,Erzincan,161
2014,Adıyaman,Erzurum,115
2014,Adıyaman,Eskişehir,114
2014,Adıyaman,Gaziantep,2893
2014,Adıyaman,Giresun,74
2014,Adıyaman,Gümüşhane,134
2014,Adıyaman,Hakkari,51
2014,Adıyaman,Hatay,408
2014,Adıyaman,Iğdır,37
2014,Adıyaman,Isparta,75
2014,Adıyaman,İstanbul,5359
2014,Adıyaman,İzmir,346
2014,Adıyaman,Kahramanmaraş,952
2014,Adıyaman,Karabük,47
2014,Adıyaman,Karaman,57
2014,Adıyaman,Kars,80
2014,Adıyaman,Kastamonu,73
2014,Adıyaman,Kayseri,216
2014,Adıyaman,Kilis,170
2014,Adıyaman,Kırıkkale,35
2014,Adıyaman,Kırklareli,95
2014,Adıyaman,Kırşehir,74
2014,Adıyaman,Kocaeli,202
2014,Adıyaman,Konya,302
2014,Adıyaman,Kütahya,60
2014,Adıyaman,Malatya,2129
2014,Adıyaman,Manisa,93
2014,Adıyaman,Mardin,161
2014,Adıyaman,Mersin,1169
2014,Adıyaman,Muğla,173
2014,Adıyaman,Muş,96
2014,Adıyaman,Nevşehir,44
2014,Adıyaman,Niğde,76
2014,Adıyaman,Ordu,61
2014,Adıyaman,Osmaniye,234
2014,Adıyaman,Rize,28
2014,Adıyaman,Sakarya,57
2014,Adıyaman,Samsun,129
2014,Adıyaman,Şanlıurfa,1075
2014,Adıyaman,Siirt,64
2014,Adıyaman,Sinop,29
2014,Adıyaman,Şırnak,173
2014,Adıyaman,Sivas,158
2014,Adıyaman,Tekirdağ,195
2014,Adıyaman,Tokat,115
2014,Adıyaman,Trabzon,89
2014,Adıyaman,Tunceli,69
2014,Adıyaman,Uşak,64
2014,Adıyaman,Van,154
2014,Adıyaman,Yalova,13
2014,Adıyaman,Yozgat,88
2014,Adıyaman,Zonguldak,50
2014,Afyonkarahisar,Adana,285
2014,Afyonkarahisar,Adıyaman,74
2014,Afyonkarahisar,Ağrı,117
2014,Afyonkarahisar,Aksaray,95
2014,Afyonkarahisar,Amasya,47
2014,Afyonkarahisar,Ankara,1992
2014,Afyonkarahisar,Antalya,2225
2014,Afyonkarahisar,Ardahan,22
2014,Afyonkarahisar,Artvin,51
2014,Afyonkarahisar,Aydın,788
2014,Afyonkarahisar,Balıkesir,360
2014,Afyonkarahisar,Bartın,37
2014,Afyonkarahisar,Batman,66
2014,Afyonkarahisar,Bayburt,11
2014,Afyonkarahisar,Bilecik,176
2014,Afyonkarahisar,Bingöl,50
2014,Afyonkarahisar,Bitlis,40
2014,Afyonkarahisar,Bolu,72
2014,Afyonkarahisar,Burdur,398
2014,Afyonkarahisar,Bursa,707
2014,Afyonkarahisar,Çanakkale,139
2014,Afyonkarahisar,Çankırı,56
2014,Afyonkarahisar,Çorum,72
2014,Afyonkarahisar,Denizli,2325
2014,Afyonkarahisar,Diyarbakır,137
2014,Afyonkarahisar,Düzce,32
2014,Afyonkarahisar,Edirne,102
2014,Afyonkarahisar,Elazığ,76
2014,Afyonkarahisar,Erzincan,48
2014,Afyonkarahisar,Erzurum,136
2014,Afyonkarahisar,Eskişehir,2194
2014,Afyonkarahisar,Gaziantep,220
2014,Afyonkarahisar,Giresun,48
2014,Afyonkarahisar,Gümüşhane,58
2014,Afyonkarahisar,Hakkari,44
2014,Afyonkarahisar,Hatay,193
2014,Afyonkarahisar,Iğdır,28
2014,Afyonkarahisar,Isparta,920
2014,Afyonkarahisar,İstanbul,2231
2014,Afyonkarahisar,İzmir,2593
2014,Afyonkarahisar,Kahramanmaraş,141
2014,Afyonkarahisar,Karabük,65
2014,Afyonkarahisar,Karaman,97
2014,Afyonkarahisar,Kars,67
2014,Afyonkarahisar,Kastamonu,69
2014,Afyonkarahisar,Kayseri,148
2014,Afyonkarahisar,Kilis,34
2014,Afyonkarahisar,Kırıkkale,99
2014,Afyonkarahisar,Kırklareli,56
2014,Afyonkarahisar,Kırşehir,72
2014,Afyonkarahisar,Kocaeli,645
2014,Afyonkarahisar,Konya,1536
2014,Afyonkarahisar,Kütahya,671
2014,Afyonkarahisar,Malatya,93
2014,Afyonkarahisar,Manisa,715
2014,Afyonkarahisar,Mardin,114
2014,Afyonkarahisar,Mersin,364
2014,Afyonkarahisar,Muğla,483
2014,Afyonkarahisar,Muş,55
2014,Afyonkarahisar,Nevşehir,67
2014,Afyonkarahisar,Niğde,59
2014,Afyonkarahisar,Ordu,95
2014,Afyonkarahisar,Osmaniye,116
2014,Afyonkarahisar,Rize,32
2014,Afyonkarahisar,Sakarya,153
2014,Afyonkarahisar,Samsun,126
2014,Afyonkarahisar,Şanlıurfa,213
2014,Afyonkarahisar,Siirt,66
2014,Afyonkarahisar,Sinop,25
2014,Afyonkarahisar,Şırnak,120
2014,Afyonkarahisar,Sivas,90
2014,Afyonkarahisar,Tekirdağ,173
2014,Afyonkarahisar,Tokat,78
2014,Afyonkarahisar,Trabzon,50
2014,Afyonkarahisar,Tunceli,37
2014,Afyonkarahisar,Uşak,522
2014,Afyonkarahisar,Van,106
2014,Afyonkarahisar,Yalova,38
2014,Afyonkarahisar,Yozgat,66
2014,Afyonkarahisar,Zonguldak,79
2014,Ağrı,Adana,244
2014,Ağrı,Adıyaman,112
2014,Ağrı,Afyonkarahisar,166
2014,Ağrı,Aksaray,51
2014,Ağrı,Amasya,86
2014,Ağrı,Ankara,2749
2014,Ağrı,Antalya,602
2014,Ağrı,Ardahan,49
2014,Ağrı,Artvin,57
2014,Ağrı,Aydın,604
2014,Ağrı,Balıkesir,364
2014,Ağrı,Bartın,20
2014,Ağrı,Batman,114
2014,Ağrı,Bayburt,58
2014,Ağrı,Bilecik,101
2014,Ağrı,Bingöl,58
2014,Ağrı,Bitlis,260
2014,Ağrı,Bolu,162
2014,Ağrı,Burdur,126
2014,Ağrı,Bursa,1620
2014,Ağrı,Çanakkale,243
2014,Ağrı,Çankırı,84
2014,Ağrı,Çorum,117
2014,Ağrı,Denizli,402
2014,Ağrı,Diyarbakır,257
2014,Ağrı,Düzce,185
2014,Ağrı,Edirne,165
2014,Ağrı,Elazığ,95
2014,Ağrı,Erzincan,119
2014,Ağrı,Erzurum,539
2014,Ağrı,Eskişehir,616
2014,Ağrı,Gaziantep,191
2014,Ağrı,Giresun,102
2014,Ağrı,Gümüşhane,78
2014,Ağrı,Hakkari,72
2014,Ağrı,Hatay,174
2014,Ağrı,Iğdır,868
2014,Ağrı,Isparta,117
2014,Ağrı,İstanbul,7510
2014,Ağrı,İzmir,2172
2014,Ağrı,Kahramanmaraş,164
2014,Ağrı,Karabük,95
2014,Ağrı,Karaman,28
2014,Ağrı,Kars,183
2014,Ağrı,Kastamonu,102
2014,Ağrı,Kayseri,584
2014,Ağrı,Kilis,30
2014,Ağrı,Kırıkkale,63
2014,Ağrı,Kırklareli,109
2014,Ağrı,Kırşehir,92
2014,Ağrı,Kocaeli,1371
2014,Ağrı,Konya,602
2014,Ağrı,Kütahya,106
2014,Ağrı,Malatya,172
2014,Ağrı,Manisa,441
2014,Ağrı,Mardin,95
2014,Ağrı,Mersin,319
2014,Ağrı,Muğla,377
2014,Ağrı,Muş,182
2014,Ağrı,Nevşehir,63
2014,Ağrı,Niğde,58
2014,Ağrı,Ordu,129
2014,Ağrı,Osmaniye,74
2014,Ağrı,Rize,98
2014,Ağrı,Sakarya,385
2014,Ağrı,Samsun,136
2014,Ağrı,Şanlıurfa,203
2014,Ağrı,Siirt,79
2014,Ağrı,Sinop,58
2014,Ağrı,Şırnak,58
2014,Ağrı,Sivas,183
2014,Ağrı,Tekirdağ,555
2014,Ağrı,Tokat,181
2014,Ağrı,Trabzon,471
2014,Ağrı,Tunceli,37
2014,Ağrı,Uşak,133
2014,Ağrı,Van,959
2014,Ağrı,Yalova,110
2014,Ağrı,Yozgat,105
2014,Ağrı,Zonguldak,96
2014,Aksaray,Adana,442
2014,Aksaray,Adıyaman,43
2014,Aksaray,Afyonkarahisar,123
2014,Aksaray,Ağrı,48
2014,Aksaray,Amasya,34
2014,Aksaray,Ankara,2106
2014,Aksaray,Antalya,652
2014,Aksaray,Ardahan,6
2014,Aksaray,Artvin,13
2014,Aksaray,Aydın,182
2014,Aksaray,Balıkesir,116
2014,Aksaray,Bartın,20
2014,Aksaray,Batman,32
2014,Aksaray,Bayburt,23
2014,Aksaray,Bilecik,19
2014,Aksaray,Bingöl,22
2014,Aksaray,Bitlis,28
2014,Aksaray,Bolu,44
2014,Aksaray,Burdur,58
2014,Aksaray,Bursa,274
2014,Aksaray,Çanakkale,35
2014,Aksaray,Çankırı,38
2014,Aksaray,Çorum,55
2014,Aksaray,Denizli,102
2014,Aksaray,Diyarbakır,141
2014,Aksaray,Düzce,43
2014,Aksaray,Edirne,21
2014,Aksaray,Elazığ,70
2014,Aksaray,Erzincan,47
2014,Aksaray,Erzurum,130
2014,Aksaray,Eskişehir,120
2014,Aksaray,Gaziantep,144
2014,Aksaray,Giresun,44
2014,Aksaray,Gümüşhane,110
2014,Aksaray,Hakkari,39
2014,Aksaray,Hatay,174
2014,Aksaray,Iğdır,22
2014,Aksaray,Isparta,73
2014,Aksaray,İstanbul,1910
2014,Aksaray,İzmir,475
2014,Aksaray,Kahramanmaraş,111
2014,Aksaray,Karabük,40
2014,Aksaray,Karaman,136
2014,Aksaray,Kars,35
2014,Aksaray,Kastamonu,90
2014,Aksaray,Kayseri,458
2014,Aksaray,Kilis,25
2014,Aksaray,Kırıkkale,103
2014,Aksaray,Kırklareli,49
2014,Aksaray,Kırşehir,396
2014,Aksaray,Kocaeli,224
2014,Aksaray,Konya,1935
2014,Aksaray,Kütahya,59
2014,Aksaray,Malatya,79
2014,Aksaray,Manisa,100
2014,Aksaray,Mardin,52
2014,Aksaray,Mersin,402
2014,Aksaray,Muğla,155
2014,Aksaray,Muş,30
2014,Aksaray,Nevşehir,300
2014,Aksaray,Niğde,360
2014,Aksaray,Ordu,46
2014,Aksaray,Osmaniye,120
2014,Aksaray,Rize,32
2014,Aksaray,Sakarya,66
2014,Aksaray,Samsun,127
2014,Aksaray,Şanlıurfa,138
2014,Aksaray,Siirt,27
2014,Aksaray,Sinop,15
2014,Aksaray,Şırnak,40
2014,Aksaray,Sivas,88
2014,Aksaray,Tekirdağ,231
2014,Aksaray,Tokat,46
2014,Aksaray,Trabzon,62
2014,Aksaray,Tunceli,13
2014,Aksaray,Uşak,70
2014,Aksaray,Van,74
2014,Aksaray,Yalova,27
2014,Aksaray,Yozgat,93
2014,Aksaray,Zonguldak,45
2014,Amasya,Adana,74
2014,Amasya,Adıyaman,38
2014,Amasya,Afyonkarahisar,39
2014,Amasya,Ağrı,115
2014,Amasya,Aksaray,41
2014,Amasya,Ankara,1861
2014,Amasya,Antalya,328
2014,Amasya,Ardahan,15
2014,Amasya,Artvin,30
2014,Amasya,Aydın,131
2014,Amasya,Balıkesir,485
2014,Amasya,Bartın,35
2014,Amasya,Batman,16
2014,Amasya,Bayburt,30
2014,Amasya,Bilecik,14
2014,Amasya,Bingöl,44
2014,Amasya,Bitlis,49
2014,Amasya,Bolu,48
2014,Amasya,Burdur,16
2014,Amasya,Bursa,236
2014,Amasya,Çanakkale,68
2014,Amasya,Çankırı,48
2014,Amasya,Çorum,731
2014,Amasya,Denizli,62
2014,Amasya,Diyarbakır,67
2014,Amasya,Düzce,31
2014,Amasya,Edirne,34
2014,Amasya,Elazığ,62
2014,Amasya,Erzincan,56
2014,Amasya,Erzurum,138
2014,Amasya,Eskişehir,131
2014,Amasya,Gaziantep,93
2014,Amasya,Giresun,93
2014,Amasya,Gümüşhane,79
2014,Amasya,Hakkari,33
2014,Amasya,Hatay,95
2014,Amasya,Iğdır,19
2014,Amasya,Isparta,33
2014,Amasya,İstanbul,3338
2014,Amasya,İzmir,542
2014,Amasya,Kahramanmaraş,47
2014,Amasya,Karabük,36
2014,Amasya,Karaman,17
2014,Amasya,Kars,68
2014,Amasya,Kastamonu,109
2014,Amasya,Kayseri,172
2014,Amasya,Kilis,6
2014,Amasya,Kırıkkale,72
2014,Amasya,Kırklareli,46
2014,Amasya,Kırşehir,37
2014,Amasya,Kocaeli,340
2014,Amasya,Konya,241
2014,Amasya,Kütahya,47
2014,Amasya,Malatya,60
2014,Amasya,Manisa,67
2014,Amasya,Mardin,41
2014,Amasya,Mersin,106
2014,Amasya,Muğla,110
2014,Amasya,Muş,28
2014,Amasya,Nevşehir,42
2014,Amasya,Niğde,35
2014,Amasya,Ordu,206
2014,Amasya,Osmaniye,37
2014,Amasya,Rize,55
2014,Amasya,Sakarya,89
2014,Amasya,Samsun,1351
2014,Amasya,Şanlıurfa,67
2014,Amasya,Siirt,39
2014,Amasya,Sinop,114
2014,Amasya,Şırnak,50
2014,Amasya,Sivas,192
2014,Amasya,Tekirdağ,240
2014,Amasya,Tokat,775
2014,Amasya,Trabzon,159
2014,Amasya,Tunceli,25
2014,Amasya,Uşak,16
2014,Amasya,Van,87
2014,Amasya,Yalova,25
2014,Amasya,Yozgat,111
2014,Amasya,Zonguldak,54
2014,Ankara,Adana,2319
2014,Ankara,Adıyaman,451
2014,Ankara,Afyonkarahisar,1480
2014,Ankara,Ağrı,876
2014,Ankara,Aksaray,1374
2014,Ankara,Amasya,1153
2014,Ankara,Antalya,6900
2014,Ankara,Ardahan,396
2014,Ankara,Artvin,773
2014,Ankara,Aydın,4932
2014,Ankara,Balıkesir,4943
2014,Ankara,Bartın,907
2014,Ankara,Batman,693
2014,Ankara,Bayburt,301
2014,Ankara,Bilecik,411
2014,Ankara,Bingöl,481
2014,Ankara,Bitlis,613
2014,Ankara,Bolu,2143
2014,Ankara,Burdur,349
2014,Ankara,Bursa,3560
2014,Ankara,Çanakkale,1327
2014,Ankara,Çankırı,4898
2014,Ankara,Çorum,3660
2014,Ankara,Denizli,1123
2014,Ankara,Diyarbakır,2408
2014,Ankara,Düzce,775
2014,Ankara,Edirne,530
2014,Ankara,Elazığ,988
2014,Ankara,Erzincan,921
2014,Ankara,Erzurum,1959
2014,Ankara,Eskişehir,3797
2014,Ankara,Gaziantep,1627
2014,Ankara,Giresun,837
2014,Ankara,Gümüşhane,1662
2014,Ankara,Hakkari,536
2014,Ankara,Hatay,1638
2014,Ankara,Iğdır,457
2014,Ankara,Isparta,1082
2014,Ankara,İstanbul,18688
2014,Ankara,İzmir,10160
2014,Ankara,Kahramanmaraş,956
2014,Ankara,Karabük,1450
2014,Ankara,Karaman,416
2014,Ankara,Kars,864
2014,Ankara,Kastamonu,1416
2014,Ankara,Kayseri,3251
2014,Ankara,Kilis,120
2014,Ankara,Kırıkkale,5190
2014,Ankara,Kırklareli,541
2014,Ankara,Kırşehir,2137
2014,Ankara,Kocaeli,2764
2014,Ankara,Konya,6261
2014,Ankara,Kütahya,997
2014,Ankara,Malatya,1517
2014,Ankara,Manisa,1182
2014,Ankara,Mardin,1071
2014,Ankara,Mersin,3905
2014,Ankara,Muğla,5559
2014,Ankara,Muş,528
2014,Ankara,Nevşehir,1003
2014,Ankara,Niğde,988
2014,Ankara,Ordu,1471
2014,Ankara,Osmaniye,583
2014,Ankara,Rize,989
2014,Ankara,Sakarya,1706
2014,Ankara,Samsun,2552
2014,Ankara,Şanlıurfa,1976
2014,Ankara,Siirt,460
