"yil","aldigi_sehir","sehir","sayi"
"2014","Adana-1","Göç Alan:Adana","0"
"","","Göç Alan:Adıyaman","752"
"","","Göç Alan:Afyonkarahisar","294"
"","","Göç Alan:Ağrı","276"
"","","Göç Alan:Aksaray","500"
"","","Göç Alan:Amasya","120"
"","","Göç Alan:Ankara","3656"
"","","Göç Alan:Antalya","2941"
"","","Göç Alan:Ardahan","87"
"","","Göç Alan:Artvin","96"
"","","Göç Alan:Aydın","497"
"","","Göç Alan:Balıkesir","365"
"","","Göç Alan:Bartın","50"
"","","Göç Alan:Batman","456"
"","","Göç Alan:Bayburt","76"
"","","Göç Alan:Bilecik","102"
"","","Göç Alan:Bingöl","357"
"","","Göç Alan:Bitlis","298"
"","","Göç Alan:Bolu","172"
"","","Göç Alan:Burdur","145"
"","","Göç Alan:Bursa","968"
"","","Göç Alan:Çanakkale","279"
"","","Göç Alan:Çankırı","109"
"","","Göç Alan:Çorum","151"
"","","Göç Alan:Denizli","334"
"","","Göç Alan:Diyarbakır","1526"
"","","Göç Alan:Düzce","89"
"","","Göç Alan:Edirne","109"
"","","Göç Alan:Elazığ","740"
"","","Göç Alan:Erzincan","169"
"","","Göç Alan:Erzurum","376"
"","","Göç Alan:Eskişehir","402"
"","","Göç Alan:Gaziantep","2747"
"","","Göç Alan:Giresun","167"
"","","Göç Alan:Gümüşhane","189"
"","","Göç Alan:Hakkari","145"
"","","Göç Alan:Hatay","2737"
"","","Göç Alan:Iğdır","57"
"","","Göç Alan:Isparta","316"
"","","Göç Alan:İstanbul","7717"
"","","Göç Alan:İzmir","1924"
"","","Göç Alan:Kahramanmaraş","2011"
"","","Göç Alan:Karabük","112"
"","","Göç Alan:Karaman","246"
"","","Göç Alan:Kars","174"
"","","Göç Alan:Kastamonu","144"
"","","Göç Alan:Kayseri","1994"
"","","Göç Alan:Kilis","225"
"","","Göç Alan:Kırıkkale","155"
"","","Göç Alan:Kırklareli","143"
"","","Göç Alan:Kırşehir","214"
"","","Göç Alan:Kocaeli","831"
"","","Göç Alan:Konya","1571"
